Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
CDH11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2391.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.341786423,0.7625,0.0,2.0,2.0,0.32808399,0.719923003,0.320821303,0.569444086,14.52818669,1085.0,-0.05646101,0.0,2.0,11.195,5.1075727,15.366668,6.617191,-1.32,1.15572745,1.206273369,0.249710226,0.0
CDH13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2283.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.539034985,0.703,0.0,1.0,1.0,0.973709834,1.0,0.642673522,0.926811328,16.53044261,929.0,-0.0262955,6.39e-07,5.0,0.375,0.0019845,0.375,0.0019845,-6.6034935,1.15572745,4.267237106,0.059092497,0.0
CDH15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2445.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.015961448,0.24,0.0,1.0,1.0,0.788022065,1.0,0.094714908,0.317946947,19.10586824,502.343055,0.014617034,7.59e-07,4.0,-2.265,0.17111249,0.66,2.5973119,-5.19,1.15572745,0.345733388,0.059092497,0.0
CDH8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2400.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.819000819,1.0,0.881834215,0.992725931,11.91415525,1301.0,-0.04813534,0.0,1.0,-1.43,0.10125,0.82,2.5973119,-3.68,1.15572745,1.44922487,0.059092497,0.0
CES1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1707.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.553264435,0.32,0.0,1.0,1.0,0.942507069,1.0,0.118877794,0.372046987,18.27745995,581.0,-0.02798835,0.0,3.0,-3.165,0.2429045,0.32,2.5973119,-6.65,1.15572745,0.578606396,0.059092497,0.0
CES5A,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1815.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.629357641,0.353,0.0,2.0,2.0,0.572409845,1.0,0.059616072,0.227723266,18.4122746,581.0,-0.03029335,0.0,0.0,2.3966666,2.2385051,9.24,1.667138,-11.29,1.15572745,0.578606396,0.059092497,0.0
CHST5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1236.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.440128409,0.698,0.0,1.0,1.0,1.0,1.0,0.132802125,0.400915676,18.89823971,225.0,0.006384503,0.0,0.0,4.9850002,0.47922055,4.9850002,0.47922055,-6.6034935,1.15572745,0.879595479,0.059092497,0.0
CHST6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1188.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.718598426,0.567,0.0,1.0,1.0,0.54884742,1.0,0.218435998,0.55073443,18.89823971,225.0,0.006384503,0.0,0.0,4.9850002,0.47922055,4.9850002,0.47922055,-6.6034935,1.15572745,1.398171107,0.059092497,0.0
CHTF18,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2928.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.833423631,0.479,0.0,2.0,2.0,1.0,1.0,0.879507476,0.992430268,20.17926523,273.0,0.03873047,5.83e-05,20.0,11.8,5.9315033,48.33,2.5973119,-0.37666666,0.000982333,0.578606396,0.059092497,0.0
CIITA,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,3393.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.693426404,0.852004578,0.652333333,0.0,3.0,6.0,0.119033448,1.0,0.74682599,0.964841723,18.1916323,410.0,0.03754208,8.86e-06,21.0,-10.459167,8.404299,0.356,0.0002993,-18.184286,13.736713,0.13106881,0.002116336,0.0
CNGB1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3756.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.350800568,0.068,0.0,1.0,1.0,0.928505107,0.292297418,0.111308994,0.143982788,19.64965265,125.0,0.01011003,0.000104408,3.0,-1.99,0.00845,5.5857964,2.5973119,-1.99,0.00845,0.695392151,0.059092497,0.0
