gene,Score,p,qvalue
SYNE1,0.99945253,0.025264124942581456,1.0
KMT2D,0.99944764,0.025264124942581456,1.0
TET1,0.9994104,0.02618282039503894,1.0
HUWE1,0.99939716,0.027560863573725225,1.0
ALG9,0.9993113,0.029398254478640307,1.0
KDM3B,0.9993073,0.029857602204868994,1.0
CIC,0.99930537,0.029857602204868994,1.0
ATP8A2,0.99923706,0.030316949931097792,1.0
LRRK2,0.99921024,0.03077629765732659,1.0
GNAS,0.9991722,0.03077629765732659,1.0
ARID1A,0.99915934,0.031235645383555277,1.0
OBSL1,0.99908495,0.031694993109784075,1.0
PIK3CA,0.99908483,0.031694993109784075,1.0
DNMT3A,0.999074,0.031694993109784075,1.0
CBL,0.99890125,0.03445107946715664,1.0
SIL1,0.9988446,0.03536977491961413,1.0
ANKRD30A,0.9988067,0.03628847037207161,1.0
USP48,0.9987822,0.03674781809830041,1.0
PCDH7,0.9987349,0.03674781809830041,1.0
TRIM23,0.99871576,0.03674781809830041,1.0
NOTCH2,0.9987097,0.03674781809830041,1.0
APOA2,0.9986842,0.03674781809830041,1.0
MACF1,0.9985952,0.03674781809830041,1.0
UTRN,0.9985819,0.03674781809830041,1.0
TP63,0.99848086,0.037666513550757896,1.0
IGSF9B,0.99840254,0.03812586127698658,1.0
MUC5B,0.99830073,0.03904455672944418,1.0
CEP128,0.998204,0.04134129536058795,1.0
FAT4,0.9981742,0.04134129536058795,1.0
ITGA4,0.99808973,0.041800643086816636,1.0
DMD,0.9980894,0.041800643086816636,1.0
THAP11,0.9979748,0.04317868626550292,1.0
EDEM1,0.9979715,0.04317868626550292,1.0
PAF1,0.9978941,0.045016077170418,1.0
ATM,0.9977264,0.04547542489664669,1.0
CSMD1,0.99769163,0.04639412034910417,1.0
PLXNC1,0.9976343,0.04639412034910417,1.0
AR,0.9973864,0.050068902158934225,1.0
PRICKLE2,0.9973036,0.050528249885163024,1.0
RUNX1,0.9972996,0.050528249885163024,1.0
NOTCH3,0.9971637,0.052365640790077994,1.0
DNAH5,0.99698037,0.05328433624253559,1.0
HECTD4,0.99691486,0.05374368396876428,1.0
SORL1,0.99683917,0.05512172714745056,1.0
WNK1,0.9967698,0.056499770326136844,1.0
MAP3K7,0.9966624,0.05787781350482313,1.0
AKAP13,0.99662554,0.05787781350482313,1.0
TUSC3,0.99659306,0.05787781350482313,1.0
WBP1,0.9964675,0.05787781350482313,1.0
BIN2,0.9964444,0.058337161231051815,1.0
EBF1,0.9964395,0.058337161231051815,1.0
ARID1B,0.996409,0.058337161231051815,1.0
NDST1,0.9963168,0.05925585668350941,1.0
GDF3,0.9962936,0.05925585668350941,1.0
RPLP0,0.9962908,0.05925585668350941,1.0
CNOT3,0.9962269,0.0601745521359669,1.0
NEB,0.99621767,0.0601745521359669,1.0
ITGAX,0.99619436,0.060633899862195584,1.0
SEC63,0.9961254,0.06201194304088187,1.0
KRTAP13-1,0.9960524,0.062471290767110665,1.0
CELSR1,0.99601907,0.062471290767110665,1.0
MUC6,0.99595886,0.06293063849333946,1.0
ITPR3,0.99593484,0.06293063849333946,1.0
FOXP4,0.9958325,0.06293063849333946,1.0
CLK1,0.99577904,0.06293063849333946,1.0
CASP8,0.9957426,0.06293063849333946,1.0
RABL6,0.9957184,0.06384933394579695,1.0
KNTC1,0.9956768,0.06384933394579695,1.0
SCAF8,0.99547416,0.06522737712448323,1.0
SHOX2,0.99546546,0.06522737712448323,1.0
APC,0.9952743,0.067524115755627,1.0
STAT3,0.9952615,0.067524115755627,1.0
DYNC1H1,0.9951805,0.06890215893431317,1.0
NPHP3,0.99515235,0.06890215893431317,1.0
PCLO,0.99490875,0.07165824529168574,1.0
SLC4A9,0.99488336,0.07165824529168574,1.0
ARID4B,0.99466044,0.07257694074414323,1.0
DDX3X,0.9945005,0.07349563619660082,1.0
MYO15A,0.99445266,0.07395498392282951,1.0
ZBTB4,0.9942778,0.074873679375287,1.0
SMAD7,0.99421823,0.074873679375287,1.0
HCN1,0.9940896,0.07533302710151579,1.0
ANKRD50,0.99403185,0.07533302710151579,1.0
CACNA1A,0.99402076,0.07533302710151579,1.0
PHEX,0.9940094,0.07533302710151579,1.0
