gene,Trans-Driver,2020plus,CompositeDriver,CHASM,e-Driver,ECD-CDGI,MCDHGN,MNGCL,OncodriveCLUST,MuSiC,ActiveDriver
AADACL4,0.0716421625502846,0.07187364887201018,0.008595829273059642,0.43320908761840826,0.4350248630284488,0.0,0.0,0.0,,10.307688269263853,
AADAT,0.0416243212413221,0.11176539288296714,0.3392727837491655,0.5131446447230567,0.8506789186811303,0.0,0.04810363,0.6625438,0.39875129943606985,0.6400280874529596,
AAED1,0.14885060272535472,0.1187772288485748,0.36758613509213844,0.8513973451939065,0.3231945741999564,0.0,0.0,0.0,,-0.0,
AAGAB,0.5913101452041222,1.9188111663210832,0.14036485064841447,0.410944468947656,0.3041729218944319,0.0,0.5945928,0.58977467,0.4674374496490643,1.4389173746831039,-0.0
AAK1,0.3081746173853609,0.9143086796162337,0.01569616969099903,0.3048687022959742,0.17923644606736186,0.7784281,0.9771205,0.63974166,,1.0281164096448765,-0.0
AAMDC,0.04147142756542402,0.19401234344752966,0.1386882670836028,0.9347938719456881,0.020828292485639804,0.0,0.09268188,0.70383275,,-0.0,
AAMP,1.1217240614245432,0.29888068360309133,0.31278208103335653,0.9796387173522921,0.8745050862639425,0.0,0.6908254,0.58820117,0.34832238789411396,-0.0,
AANAT,0.05545207089867626,0.07187364887201018,0.10033233270571822,1.1487416512809248,0.9655849694224626,0.0,0.52878577,0.6834067,,0.40198676658006094,-0.0
AAR2,0.15708423224726553,0.3839580413949798,0.0004779390508803921,0.2973971586595729,0.06190248301931164,0.0,0.15133975,0.56778693,,0.7076237177508817,
AARD,0.05787948258477591,0.006743540694807534,0.03235507682354997,0.1671080552402094,,0.0,0.0,0.0,,3.919949099805974,
AARS,0.6859444134176598,0.9946465333581321,0.07617795209136115,0.7347103741391698,1.1791250039361136,0.0,0.0,0.6118597,0.32147445331729024,0.6165713023533542,-0.0
AARS2,0.5786642207149206,1.3580909006378323,0.422896442449338,0.410944468947656,0.46077150757426477,0.0,0.08805316,0.7191527,0.22807522086590173,1.1202451332454224,-0.0
AARSD1,0.27002131570432863,0.9709494321357897,0.027886891417369147,0.19368433019188647,0.7558612050919329,0.0,0.26861495,0.6520747,0.6502250765366435,,-0.0
AASDH,0.8749802199415011,0.11176539288296714,0.016507345673870428,0.721246399047171,0.6045749234063925,0.0,0.0,0.0,0.4507604921458464,8.624411847621863,-0.0
AASDHPPT,0.3383430370084244,0.4505752127873922,0.29145258212651876,0.7428015738606555,0.449519232683816,0.13794988,0.45355988,0.6618287,0.46789214524546063,3.087687018912686,-0.0
AASS,0.28955783006901115,1.056902065174076,0.14289192458936983,1.4067139329795428,0.2552423457222723,0.0,0.8237022,0.6689829,0.6918853996431713,6.201422814572332,-0.0
AATF,0.36476977239582437,0.3563099306089722,0.2837061393873137,0.4918744639168008,,0.0,0.9997688,0.6708566,,0.9885809879251274,-0.0
AATK,0.637710707624505,0.7890127047847133,0.2854622184373312,0.0966929200358262,2.511004254490313,0.0,0.4142075,0.6351524,0.6069123451812539,12.86973080294959,-0.0
ABAT,0.2514085594562979,1.1577805722897367,0.6580157391893914,0.47314401287412544,1.9702294843967838,0.0,0.7271446,0.6993867,0.8024886209886583,3.693045502922384,
ABCA1,1.2336797924958667,1.0084636708121946,0.60893181357406,0.5534628329263562,1.13181336626701,0.856604,0.9820838,0.7622065,0.44113545602730164,3.556421604441017,-0.0
ABCA10,1.2840892959734673,0.40408970352006374,0.061273604493745006,0.757955760630449,0.7958180015912901,0.0,0.0,0.0,,16.118368093485437,-0.0
ABCA12,,0.14081401670372584,1.5104677134410087,0.5883802940367698,1.2978061972164165,0.0,0.85151035,0.6795248,0.7548965532153639,,-0.0
ABCA13,,0.5123654038881829,,0.9965394678904935,2.019734763509363,0.0,0.0,0.0,0.6199978743956165,,-0.0
ABCA2,0.5918526742964163,0.4174998460566379,1.351351647791881,0.43320908761840826,2.2516210555576928,0.0,0.7295033,0.69803447,0.3872496191543814,4.4185591200157734,-0.0
ABCA3,0.45559464980424513,0.3281665136051004,0.5761425087484453,1.1598939055432422,1.1073746425733555,0.0,0.60551214,0.6739292,0.38399770952294454,4.7219826091434145,-0.0
ABCA4,0.5279410165951031,0.1260344639582202,2.111263382240217,0.42875714943977616,0.7363970895621104,0.0,0.104302436,0.6851388,0.8843785012202964,12.279044093476184,-0.0
ABCA5,1.306952178932971,0.1627775359194489,0.5591343452116451,0.18922998876563646,0.9796106425605051,0.0,0.96416473,0.65933764,0.7409170847447555,5.8172974630794325,1.4065631053802878
