gene_id,gene,pvalue
1921.0,STK11,0.99989235
2474.0,ACTA1,0.9998921
2243.0,WDR33,0.99989176
86.0,SMAD7,0.99989164
6482.0,PRIM1,0.99989164
1381.0,HSPA8,0.9998915
2529.0,BICD1,0.99989116
2079.0,JMJD6,0.9998909
240.0,PCCB,0.9998907
8661.0,KAT8,0.99988985
4551.0,MPDZ,0.99988854
1839.0,TNK2,0.99988794
3546.0,REV1,0.99988794
1726.0,TCF4,0.99988675
798.0,PRKN,0.99988604
2733.0,TUBA8,0.9998859
880.0,APC,0.9998858
5205.0,ZNF398,0.99988544
50.0,ATR,0.9998851
5773.0,BCCIP,0.9998847
97.0,BID,0.9998847
8805.0,SP110,0.9998846
8191.0,SPICE1,0.99988437
3669.0,TMOD3,0.99988246
2998.0,EAF2,0.9998822
8156.0,ANG,0.99988115
5660.0,MAEA,0.999881
9545.0,ADH5,0.9998808
92.0,SCO2,0.9998808
2993.0,DHX9,0.9998803
9283.0,AGT,0.9998802
6652.0,DNAJB6,0.9998791
3121.0,PBRM1,0.9998789
7579.0,CAVIN2,0.99987876
1707.0,PELI1,0.9998784
4316.0,DACH1,0.99987805
3603.0,PRRC2A,0.9998779
226.0,RCHY1,0.9998778
7997.0,ECD,0.99987733
8840.0,PER2,0.9998766
5574.0,ETHE1,0.999876
4109.0,PPID,0.9998759
7740.0,RAB4A,0.9998758
93.0,RRM2B,0.99987566
2791.0,ANXA7,0.99987566
3444.0,CSE1L,0.9998754
1103.0,PTK2,0.9998752
1622.0,SYK,0.9998741
3031.0,TUBB4B,0.99987316
2462.0,FTH1,0.99987304
1080.0,REL,0.9998729
5066.0,TP53BP2,0.9998728
3704.0,SETD1A,0.99987257
1540.0,HDAC8,0.99987185
114.0,BCL6,0.9998716
3071.0,STIP1,0.9998715
1528.0,DCLRE1C,0.99987054
11646.0,COLGALT1,0.99987054
4156.0,NT5C2,0.99986994
2352.0,DOCK7,0.99986947
3585.0,BTBD2,0.9998691
2857.0,HSPA1B,0.999869
177.0,PPARGC1A,0.99986875
7842.0,S100A6,0.9998685
4015.0,NUP155,0.99986815
2161.0,PAFAH1B3,0.9998678
10437.0,TAF5,0.9998677
6768.0,CSNK1G2,0.9998667
132.0,MLH1,0.9998667
1334.0,TUBG1,0.9998665
36.0,KAT5,0.99986553
6759.0,FOXC1,0.9998654
2341.0,PHC3,0.9998648
2641.0,FBXO21,0.9998646
1460.0,BLM,0.9998635
3935.0,FUBP1,0.99986327
10123.0,DHCR24,0.9998629
3921.0,ABCE1,0.99986255
1177.0,PPP2R1A,0.9998622
7049.0,FOXK2,0.99986124
4743.0,MAGI1,0.9998604
9287.0,TAF6,0.99986005
1339.0,TUBB2A,0.9998592
1576.0,CTBP1,0.9998592
1039.0,NAE1,0.9998591
2267.0,CSNK1E,0.9998586
2382.0,DCAF1,0.9998585
9120.0,GTF2H4,0.9998584
2654.0,WDR5,0.999858
4910.0,MAFK,0.99985695
7584.0,NUP88,0.9998568
9113.0,ASF1A,0.9998568
11510.0,DECR1,0.99985635
8836.0,MYBPH,0.9998555
1527.0,PRKDC,0.9998554
1516.0,FBXW11,0.9998548
997.0,ERBB2,0.99985397
1377.0,PIAS2,0.99985373
1447.0,MAPK9,0.99985313
1646.0,MUC1,0.99985147
2123.0,LIMA1,0.9998504
21.0,PIK3R1,0.99985003
6360.0,MAP1B,0.99984837
5088.0,TOPORS,0.99984825
5009.0,APTX,0.9998481
2671.0,LRRC7,0.9998479
1326.0,CDK6,0.9998474
9756.0,TAF1A,0.9998473
9396.0,SHISA5,0.9998472
169.0,TP73,0.99984694
4715.0,NAP1L1,0.9998461
7696.0,NR1I2,0.99984586
33.0,MRE11,0.9998454
1163.0,BCKDHB,0.99984515
160.0,WWOX,0.9998449
6423.0,TUBB3,0.9998442
10826.0,TUBGCP2,0.9998441
4410.0,PMP22,0.9998436
6565.0,SFRP4,0.9998436
2106.0,IRF9,0.9998429
129.0,JUN,0.9998429
9201.0,CDH16,0.99984276
5628.0,CKAP4,0.9998425
60.0,BRCA2,0.99984217
5481.0,ZNF148,0.9998419
2143.0,MAPKAPK5,0.9998418
882.0,STAMBP,0.9998412
1825.0,MAP2K3,0.99984086
3485.0,SIN3B,0.9998404
1767.0,GTF2H1,0.9998399
1993.0,PPP1R13L,0.99983895
2173.0,HMGA1,0.9998386
5699.0,USP10,0.9998381
1694.0,GTF2I,0.99983764
971.0,ERN1,0.9998375
1504.0,DAXX,0.9998373
5157.0,ZBTB33,0.9998369
2737.0,HNRNPM,0.9998368
4776.0,SEC24D,0.9998348
3440.0,NIN,0.99983454
175.0,CDK4,0.99983263
1443.0,CSF1R,0.9998324
954.0,PRKCA,0.9998324
3543.0,HMGB2,0.99983203
167.0,CDKN1A,0.9998318
4432.0,RFWD3,0.99983144
96.0,PMAIP1,0.9998306
1203.0,GRB10,0.9998306
3643.0,AIMP2,0.99983037
839.0,MAPK3,0.9998299
4568.0,PDLIM7,0.99982977
5317.0,TGM2,0.9998286
6814.0,ZBTB49,0.9998282
2494.0,DYNC1I1,0.99982786
241.0,MCCC2,0.9998272
2318.0,EIF3B,0.9998267
4442.0,PAK4,0.9998266
3525.0,TBPL1,0.99982506
1601.0,AGO2,0.99982506
10230.0,PARD3,0.99982446
804.0,ATG7,0.99982387
3985.0,VRK3,0.9998229
3138.0,TCEAL4,0.9998227
434.0,CTNNB1,0.9998227
2325.0,BMX,0.99982184
2312.0,NR4A1,0.99982125
6460.0,RNF34,0.99982053
1990.0,COPS3,0.9998197
9088.0,TAF5L,0.999819
536.0,TLR4,0.9998184
45.0,BRCA1,0.99981815
7081.0,MDH1,0.9998178
116.0,ARID3A,0.9998161
4048.0,HECTD3,0.9998159
64.0,XRCC1,0.99981564
8003.0,PHKA2,0.9998148
