Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ZBTB49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2298.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.866956205,0.053,0.0,1.0,1.0,0.923361034,1.0,0.163238655,0.459115574,17.1571673,506.0,0.03986517,9.42e-06,10.0,25.355,12.59518,25.355,12.59518,-8.8916674,3.512319,0.482861738,0.031927407,0.0
ADAM32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2364.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.369227242,0.329,0.0,1.0,1.0,0.994035785,1.0,0.498007968,0.845188846,18.40669414,612.0,-0.004792014,0.0,0.0,5.9166666,1.01166535,8.88,1.49645,-0.01,3.512319,0.482861738,0.031927407,0.0
ANK1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5694.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.659626273,0.111,0.0,1.0,1.0,0.539374326,0.963636364,0.673400673,0.929539888,19.13196796,533.0,0.0355337,0.000227217,15.0,2.7733333,0.23573234,4.315,0.3288605,-0.31,3.512319,1.471704113,0.031927407,0.0
ASH2L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1887.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.232815758,0.467,0.0,1.0,1.0,0.386398764,1.0,0.453103761,0.811796161,19.3563172,258.0,0.03364148,9.88e-05,56.0,1.28999995,0.038641997,2.68,3.2186646,-0.1,3.512319,0.086172805,0.031927407,0.0
BLK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1518.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.288043771,0.938,0.0,1.0,1.0,0.129115558,1.0,0.864304235,0.990346109,18.86337657,493.0,0.0547032,0.000264157,46.0,1.8,0.135529,3.04,0.178802,-0.68,3.512319,1.869850668,0.031927407,0.0
CHD7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,8994.0,0.0,0.333333333,0.0,0.333333333,0.0,1.0,0.333333333,0.0,0.579380164,0.327795487,0.864333333,0.0,1.0,3.0,0.629326621,1.0,0.512557663,0.855121508,17.92300824,572.0,0.04451519,2.04e-05,22.0,3.915714,0.25367795,5.596,0.2569918,-0.285,1.25e-05,0.482861738,0.031927407,0.0
CSMD1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10695.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.700770848,1.0,0.043756016,0.180674112,13.41155203,1290.0,-0.03623031,3.66e-07,2.0,-0.395,0.0083205,0.25,3.2186646,-1.04,3.512319,0.882506933,0.031927407,0.0
CSMD3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11124.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.496389215,0.351,0.0,1.0,1.0,0.181950509,1.0,0.243190661,0.587040255,13.16689931,1295.0,-0.02930086,0.0,0.0,30.235,18.006001,30.235,18.006001,-8.8916674,3.512319,0.304801726,0.031927407,0.0
DCAF4L2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1188.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.688085828,0.104,0.0,1.0,1.0,0.31201248,0.996832937,0.791765637,0.976045405,14.7030465,994.0,-0.02661536,5.92e-07,6.0,4.176667,0.6065844,6.605,0.8593606,-0.68,3.512319,0.482861738,0.031927407,0.0
DLGAP2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2928.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.268735747,0.787,0.0,1.0,1.0,0.992063492,1.0,0.546149645,0.876494957,16.60943401,671.0,-0.03679673,4.27e-06,7.0,2.7733333,0.23573234,4.315,0.3288605,-0.31,3.512319,0.482861738,0.031927407,0.0
